time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.2986855884228404e-09,5.133971303942445e-08,10.005858047940404,5.4255208906894836e-05,1.4875461715746496e-06,0.0,-1.297081636840899e-07,4.929482721921686e-06,0.19525438381772958,0.0026542087071372905,7.433597695838648e-05,0.0,465.8001677617363,465.8059793426318,466.3831872698947,466.59039025757716
0.12000000000000001,-5.189955165193061e-07,1.9085287696300753e-06,10.01956728971626,3.386611294509123e-05,0.0004241855966400365,0.0,-4.05199047311781e-05,6.448731062529238e-05,0.26170690139052677,-0.007125357562287148,0.018237485257937704,0.0,425.0468748918249,426.60028701572486,426.940200208571,426.10514121975007
0.18,-1.8641015239278064e-05,4.709719914963902e-06,10.042271139001002,6.282841192926124,0.0010376000831726628,0.0,-0.0006786844465097813,-2.0087561127837337e-05,0.49501566744230713,-0.004697363532269527,-0.015024537823451811,0.0,479.257127654397,476.72267000919635,476.7738284137734,476.95937259750707
0.23999999999999996,-7.81673819052924e-05,-5.0430625092599505e-06,10.075901875317205,6.282568818576941,0.00014723975057950867,0.0,-0.0012099822454142489,-0.0003345145191820332,0.6259457976283798,-0.004225826942626707,-0.01447150439103913,0.0,447.1756102250394,447.22075746716524,446.5476434809359,446.58618463609866
0.3,-0.00015055055386230042,-4.140478748694824e-05,10.12076429519793,6.282538028036129,6.282576233464955,0.0,-0.0011029850998837524,-0.000893883712905942,0.8693149006203791,0.006035268793680431,-0.00911208149758265,0.0,480.0555458267977,480.4621201551775,480.7074355604042,481.4842691481998
0.36000000000000004,-0.00020391861705037576,-0.0001061538882093035,10.174526084130866,6.2824747827374186,6.282723019030875,0.0,-0.0006632147114874611,-0.0012441315393179682,0.9227028447579849,-0.02159597899709837,0.018985416181677275,0.0,421.51903858265337,423.93990171741,423.7277935298008,421.3460403333481
0.4200000000000001,-0.00023894882777584543,-0.00019973204180926196,10.23215050475238,6.281182646889929,0.0009237862603592717,0.0,-0.0006296976694977351,-0.002002343243809581,0.9980479173106765,-0.021415119322569103,0.030270723183572396,0.0,429.7839083115879,430.73929094538283,429.496317001213,429.51163089451205
0.48000000000000015,-0.0003015280171486522,-0.0003636762911173372,10.293998700017259,6.28007652948358,0.002825612955645873,0.0,-0.0016364574568760865,-0.0035775995961334142,1.0634991063554784,-0.013058061147988242,0.03440679857118774,0.0,426.9450433884119,427.29814869580207,426.1587843837662,426.8724711299036
0.5400000000000001,-0.0004628702584741596,-0.0006419618905836881,10.359734720580473,6.279403975805465,0.005210508172631023,0.0,-0.003958181348507442,-0.005768552660904016,1.1276391818200175,-0.007746689716612498,0.04872117539007746,0.0,426.4593569933209,427.68100962621304,425.7551182513555,426.20937022184415
0.6000000000000002,-0.0008504331683253654,-0.0010890616986321516,10.435844697498972,6.278562355279746,0.00799112854641404,0.0,-0.009326924527864182,-0.009211865413590925,1.4090540696882763,-0.031152179994477638,0.04110713992184333,0.0,492.75678885018505,492.19470498085565,493.1263110869044,491.39461302573335
0.6600000000000003,-0.0015982656549294203,-0.0017517901433717472,10.524992890967356,6.277161718090003,0.010598482202650139,0.0,-0.015878326310084342,-0.013054055040248907,1.5623519654325033,-0.011084944251523801,0.047780939974878915,0.0,455.9391389555736,456.4729689412253,453.89518252029814,455.50255241150006
0.7200000000000003,-0.0028084446174071573,-0.002677305129447865,10.624209144674206,6.276381974093361,0.013481507666758041,0.0,-0.024786289899367188,-0.017876947284434,1.7445919403667711,-0.01712082451315761,0.048583843248961214,0.0,464.69615491508523,464.7603810352396,464.7719795043373,464.2988370680163
0.7800000000000004,-0.004594921034750814,-0.0038992882149762507,10.732571718456061,6.275198494989837,0.01638595203811999,0.0,-0.035066774727508576,-0.022970276368728046,1.8672958892546372,-0.02551967003614989,0.04805229780079012,0.0,447.26409898937527,447.2222304416256,447.1648213090448,446.4801896921101
0.8400000000000004,-0.007044015060659693,-0.0054455331667350925,10.847347129393706,6.274199836229503,0.019200586259485064,0.0,-0.04685405007149695,-0.028693060074169,1.958392954080694,-0.0030878553075230778,0.044524151577138286,0.0,437.9578027110723,437.6656230197593,436.2941139804731,438.16287565921505
0.9000000000000005,-0.010310098851360179,-0.0073753303829576485,10.970266250613575,6.273883217388299,0.02215017896442184,0.0,-0.06233061143372563,-0.03565869763941345,2.1385843825238697,-0.010060613157333326,0.05710872791591531,0.0,465.0599665094968,466.0459322295375,465.37933340297843,464.8333579975511
0.9600000000000005,-0.014524210578406227,-0.00971087747037496,11.101736605584762,6.273148901377404,0.025250119351150957,0.0,-0.07847371248596752,-0.042259235888437816,2.243551197137168,-0.016995232633672138,0.03761872426148785,0.0,443.90001826410315,442.29950172568783,443.1161117290762,442.5458202901105
1.0200000000000005,-0.019731750106433243,-0.012445124177667171,11.238113384181112,6.27197331704752,0.026963001260865482,0.0,-0.09531223979827404,-0.04898576698424305,2.302217473152179,-0.025373187420915155,-0.004079514274031125,0.0,430.9289481170785,427.3899809800092,428.44059047804456,427.7277241010633
1.0800000000000005,-0.02587833287665531,-0.015566390972093226,11.374478695846673,6.271017502872716,0.02645184736678896,0.0,-0.10954909990940813,-0.05515145350315723,2.2434092579229814,-0.0017112030699181265,-0.019339171558536462,0.0,389.3601325445136,387.92999266047576,387.97549199039236,390.19071282195995
